feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,target
-4.906441729136952,3.4427890172390962,0.5589637255813529,-0.9767636407626333,-1.5688054305818984,-4.271982208419005,-3.7279209645282374,0.11186835838060205,2.119795084575114,-2.522812035875793,3.3522808069395835,-7.4924783327371784,4.2646685375621285,0.30486563341172235,0.7776929374519319,-9.375463783400203,1.6544457378669744,3.0128589450495333,-4.497002595908911,-2.5200657175069465,0
2.162610457305496,-5.286650802141841,2.6098456632796903,-1.8038983865191351,-1.8312156173907321,1.450757433675908,2.6487087411434542,2.152306944989089,0.5245521411313285,0.49354756625028695,-1.401809470450377,6.6806031695826205,-2.4318299939548575,2.46277341024913,-1.2548239426285699,2.9784018504856586,-3.4284568844096754,-4.562177839648023,3.698664566797596,-1.9232857518752318,1
-4.784844279489858,-3.7448269949842525,4.657591625908074,-1.4088059695018766,-5.444757528964747,-2.416013074738646,3.5564952650143358,-1.5721189363611257,-0.730548702594777,3.4476610411397126,-2.609051748584783,7.961059209150631,-5.151105078310274,0.47313097139311966,-4.070666509339937,-0.9323094117491305,-3.230768428333314,-7.844645702305444,2.8037984097968875,-2.9631894537406622,1
10.4650237308404,1.0709438989074709,-3.56243193267781,-0.8490623737966605,2.1838603248043453,-0.6098930569937228,0.9463268862272645,-1.0461407993420155,-2.057053294869994,-2.0566496598472597,-2.2154554962170687,-1.4490952719133348,-1.2176852451936493,2.0268050713041523,2.121829022408527,3.184256404813264,-1.9601461201572699,0.7821467644069446,-1.4442016210285984,0.9159851873412336,0
5.599516250741532,-1.7764124572766558,-1.3043223328714397,-0.7200742276830758,5.859373136578148,-3.2924318152906524,3.1522049554652636,7.099881672053703,-3.321076439331759,3.245486496335336,-0.3361780411176756,6.6087285724888645,5.632296673161037,-1.943747944195645,1.1694550634393868,3.7825129330104272,-4.752822447080151,-7.577624054472489,4.868024847870236,1.7082097501735953,0
4.432115514586569,2.248015311097639,1.2657984399819338,-0.5365664619563917,0.5002459876293501,-3.2345413430926677,-0.2238685353660852,0.5782092764148339,-2.217683167495222,-1.2273614634545884,-2.4517224357845717,-2.237661728922229,4.905112177371112,-3.1710435343698076,0.7709348171976429,-1.6087804644935,-3.4919296665430086,4.25313039408249,0.13869479791058126,-0.17647905993337076,0
1.9861043777146077,2.2449126193844537,1.9459805050827856,-0.9325071091659557,0.6314038977699592,1.2857896286383936,-1.1303583504499572,-0.5624873704749627,-0.8316800021038985,-0.502457053523502,1.2992310726564025,-4.599661697724298,1.4701951963870568,-4.260875258794136,1.9049338706474996,-3.051433623519522,-2.7639083928244346,2.928605964681846,0.9891181549657935,0.7082356678670672,1
-8.07041630770542,1.8732755042283962,2.0333404610455372,-0.7575101537829223,-4.356064125277159,1.4892310020107815,3.4002894420363434,-3.1759888206810896,-0.87814637557319,4.124564029978562,1.148067208835282,0.5301076415476573,-2.6116980333782,-3.9551499772575474,-3.638793996466843,-0.8871692888684208,1.6426664743329447,-2.1495111544151535,-2.3926891407011155,1.48455089219305,1
-2.42906882978594,6.4767744194273575,-5.997024796312539,-0.19422182666028776,4.054865983837225,-4.427297322747764,-0.0012671139265885145,1.2384395899227476,0.8296863825466647,1.492393547772238,1.345383329708338,-4.760037732385458,1.7546038535066482,-4.251513193330031,0.04033700198079926,-7.0256051633795265,2.634333485588444,0.3028347614691776,-2.072254891620867,-3.265796100167826,0
-8.546689547949532,0.9952938971296686,1.973374057697615,-1.7450148843348814,0.06761850951297932,1.9647577127213256,-0.6906901247184412,0.7878079811314833,-2.2372446398677264,4.975628636882163,0.5755748227992308,6.556418036954027,1.2305694580210744,-3.7404755266585825,-2.172491432189749,3.854992634299479,-0.5281259388192292,-0.9759011309827663,-0.5368346502244501,6.676252690337392,1
